id,name,supertype,hp,evolvesFrom,convertedRetreatCost,number,artist,rarity
dp3-1,Ampharos,Pokémon,130,Flaaffy,3,1,Kouki Saitou,Rare Holo
ex12-1,Aerodactyl,Pokémon,70,Mysterious Fossil,,1,Hajime Kusajima,Rare Holo
mcd19-1,Caterpie,Pokémon,50,,1,1,Sekio,
ex7-1,Azumarill,Pokémon,80,Marill,1,1,Sumiyoshi Kizuki,Rare Holo
sm9-1,Celebi & Venusaur-GX,Pokémon,270,,4,1,Mitsuhiro Arita,Rare Holo GX
pl1-2,Blastoise,Pokémon,130,Wartortle,2,2,Kagemaru Himeno,Rare Holo
ex3-2,Altaria,Pokémon,80,Swablu,1,2,Atsuko Nishida,Rare Holo
sm9-2,Weedle,Pokémon,40,,1,2,Shibuzoh.,Common
mcd19-2,Alolan Exeggutor,Pokémon,160,Exeggcute,3,2,Satoshi Shirai,
xy5-2,Kakuna,Pokémon,80,Weedle,3,2,Kagemaru Himeno,Uncommon
sm12-1,Venusaur & Snivy-GX,Pokémon,270,,3,1,Mitsuhiro Arita,Rare Holo GX
si1-1,Mew,Pokémon,30,,,1,Keiko Fukuyama,
sm3-1,Caterpie,Pokémon,50,,1,1,Sekio,Common
pop7-1,Ampharos,Pokémon,130,Flaaffy,3,1,Kouki Saitou,Rare
bw1-2,Snivy,Pokémon,60,,1,2,5ban Graphics,Common
base4-3,Chansey,Pokémon,120,,1,3,Ken Sugimori,Rare Holo
hgss4-3,Celebi,Pokémon,70,,1,3,Shin Nagasawa,Rare Holo
ex7-3,Dark Crobat,Pokémon,90,Dark Golbat,1,3,Kyoko Koizumi,Rare Holo
swsh35-2,Weedle,Pokémon,60,,1,2,Yuka Morii,Common
xy2-3,Butterfree,Pokémon,130,Metapod,1,3,sui,Rare
sm9-3,Weedle,Pokémon,50,,1,3,SATOSHI NAKAI,Common
sm1-2,Metapod,Pokémon,80,Caterpie,3,2,Yuka Morii,Uncommon
mcd19-3,Magmar,Pokémon,80,,2,3,Yumi,
dp3-3,Charizard,Pokémon,130,Charmeleon,3,3,Daisuke Ito,Rare Holo
base1-1,Alakazam,Pokémon,80,Kadabra,3,1,Ken Sugimori,Rare Holo
ex8-1,Altaria,Pokémon,70,Swablu,1,1,Kyoko Umemoto,Rare Holo
pop5-1,Ho-Oh,Pokémon,80,,2,1,Mitsuhiro Arita,Rare
xy10-1,Shuckle,Pokémon,80,,1,1,sui,Uncommon
ecard2-H1,Ampharos,Pokémon,100,Flaaffy,2,H1,Shin-ichi Yoshida,Rare Holo
base4-1,Alakazam,Pokémon,80,Kadabra,3,1,Ken Sugimori,Rare Holo
ex11-1,Beedrill δ,Pokémon,90,Kakuna,,1,Masakazu Fukuda,Rare Holo
base3-2,Articuno,Pokémon,70,,2,2,Mitsuhiro Arita,Rare Holo
gym1-2,Brock's Rhydon,Pokémon,80,Brock's Rhyhorn,3,2,Ken Sugimori,Rare Holo
ex14-1,Banette,Pokémon,70,Shuppet,1,1,Kyoko Umemoto,Rare Holo
sm115-1,Caterpie,Pokémon,60,,1,1,tetsuya koizumi,Common
col1-1,Clefable,Pokémon,80,Clefairy,1,1,sui,Rare Holo
ex9-1,Blaziken,Pokémon,110,Combusken,2,1,Midori Harada,Rare Holo
bw10-1,Surskit,Pokémon,50,,1,1,Naoyo Kimura,Common
ex9-2,Deoxys,Pokémon,70,,1,2,Hironobu Yoshida,Rare Holo
ru1-3,Ninetales,Pokémon,90,Vulpix,1,3,Pokemon Rumble,
xy5-3,Beedrill,Pokémon,120,Kakuna,,3,Kouki Saitou,Rare
pl3-3,Drifblim FB,Pokémon,80,,2,3,Lee HyunJung,Rare Holo
xy7-2,Gloom,Pokémon,80,Oddish,1,2,Masakazu Fukuda,Uncommon
bw10-2,Masquerain,Pokémon,80,Surskit,1,2,5ban Graphics,Rare
ex12-3,Cradily,Pokémon,100,Lileep,2,3,Hajime Kusajima,Rare Holo
xy11-2,Tangrowth,Pokémon,130,Tangela,4,2,kirisAki,Uncommon
ex3-3,Crawdaunt,Pokémon,80,Corphish,2,3,Hisao Nakamura,Rare Holo
dv1-3,Dragonair,Pokémon,70,Dratini,2,3,Hajime Kusajima,Rare Holo
xy4-1,Venonat,Pokémon,60,,1,1,Sumiyoshi Kizuki,Common
bw4-1,Pinsir,Pokémon,80,,2,1,Masakazu Fukuda,Rare
bw7-1,Oddish,Pokémon,50,,1,1,Kanako Eo,Common
sm5-1,Exeggcute,Pokémon,50,,1,1,kawayoo,Common
sm8-1,Tangela,Pokémon,80,,2,1,Ken Sugimori,Common
hgss4-1,Aggron,Pokémon,140,Lairon,4,1,Kagemaru Himeno,Rare Holo
xy5-1,Weedle,Pokémon,50,,1,1,Midori Harada,Common
pl1-1,Ampharos,Pokémon,130,Flaaffy,2,1,Atsuko Nishida,Rare Holo
det1-1,Bulbasaur,Pokémon,60,,1,1,MPC Film,Common
dv1-1,Dratini,Pokémon,40,,1,1,Masakazu Fukuda,Rare Holo
pl3-1,Absol G,Pokémon,70,,1,1,Yusuke Ishikawa,Rare Holo
xy2-1,Caterpie,Pokémon,40,,1,1,Sumiyoshi Kizuki,Common
pop6-1,Bastiodon,Pokémon,130,Shieldon,3,1,Kazuyuki Kano,Rare
ecard2-H2,Arcanine,Pokémon,90,Growlithe,3,H2,Kyoko Umemoto,Rare Holo
hgss4-2,Altaria,Pokémon,90,Swablu,,2,Ryo Ueda,Rare Holo
pl3-2,Blaziken FB,Pokémon,80,,1,2,Motofumi Fujiwara,Rare Holo
ex11-2,Crobat δ,Pokémon,90,Golbat,,2,Ryo Ueda,Rare Holo
pop6-2,Lucario,Pokémon,90,Riolu,1,2,Kouki Saitou,Rare
base4-2,Blastoise,Pokémon,100,Wartortle,3,2,Ken Sugimori,Rare Holo
ex12-2,Aggron,Pokémon,110,Lairon,4,2,Hisao Nakamura,Rare Holo
ex7-2,Dark Ampharos,Pokémon,120,Dark Flaaffy,2,2,Emi Miwa,Rare Holo
xy11-1,Tangela,Pokémon,80,,3,1,OOYAMA,Common
bw1-1,Snivy,Pokémon,60,,1,1,Kagemaru Himeno,Common
gym2-1,Blaine's Arcanine,Pokémon,90,Blaine's Growlithe,3,1,Ken Sugimori,Rare Holo
swsh35-1,Venusaur V,Pokémon,220,,3,1,PLANETA Mochizuki,Rare Holo V
sm1-1,Caterpie,Pokémon,50,,1,1,Kanako Eo,Common
ex13-1,Armaldo δ,Pokémon,110,Anorith,3,1,Masakazu Fukuda,Rare Holo
pop6-3,Manaphy,Pokémon,70,,1,3,Atsuko Nishida,Rare
ex11-3,Dragonite δ,Pokémon,100,Dragonair,2,3,Ryo Ueda,Rare Holo
ex13-2,Cradily δ,Pokémon,100,Lileep,2,2,Kouki Saitou,Rare Holo
